Company_Name,Website,Location,Minimum Project Size,Average Hourly Rate,Number of Employees,Percent AI Service Focus,Ciudad,Estado,Pais,Disponibilidad_MinProject,Disponibilidad_HourlyRate,Employees_Num,Tamaño_Empleados,Clasificación por número de empleados,Tipo de proveedor / segmento de análisis,Segmentación servicios AI,Descripción Segmentación,Clasificación por regiones,Transparencia_Comercial,continent,country,iso_code,conteo_pais
Smith.ai,https://smith.ai/,"Los Altos, CA",Undisclosed,Undisclosed,250 - 999,10%,Los Altos,CA,USA,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,0,North America,USA,USA,917
MooveIt,https://moove-it.com/,"Austin, TX","$100,000+",$50 - $99 / hr,50 - 249,15%,Austin,TX,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
TechSpeedInc,http://www.techspeed.com/,"Portland, OR","$1,000+",< $25 / hr,50 - 249,40%,Portland,OR,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
WillDom,https://willdom.com/,"Fort Lauderdale, FL","$10,000+",$50 - $99 / hr,250 - 999,10%,Fort Lauderdale,FL,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
Icreon,https://www.icreon.com/en,"New York, NY","$50,000+",$100 - $149 / hr,250 - 999,10%,New York,NY,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
ELEKS,https://eleks.com,"Tallinn, Estonia","$50,000+",$50 - $99 / hr,"1,000 - 9,999",10%,Tallinn,,Estonia,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Estonia,EST,17
Stepwise,https://www.stepwise.pl/,"Warszawa, Poland","$100,000+",$50 - $99 / hr,10 - 49,20%,Warszawa,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
RevolveAI,https://www.revolveai.com/,"Islamabad, Pakistan","$10,000+",$25 - $49 / hr,10 - 49,100%,Islamabad,,Pakistan,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Asia,2,Asia,Pakistan,PAK,61
Develtio,http://www.develtio.com/,"Warszawa, Poland","$5,000+",$25 - $49 / hr,50 - 249,20%,Warszawa,,Poland,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
JetRockets,http://jetrockets.com,"Brooklyn, NY","$25,000+",$50 - $99 / hr,10 - 49,10%,Brooklyn,NY,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
Sciant,http://www.sciant.com/,"Sofia, Bulgaria","$10,000+",$25 - $49 / hr,50 - 249,10%,Sofia,,Bulgaria,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Bulgaria,BGR,20
Dev.Pro,https://dev.pro/,"Charlotte, NC","$50,000+",$50 - $99 / hr,250 - 999,10%,Charlotte,NC,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
YugasaSoftwareLabs,https://www.yugasa.com/,"Gurugram, India","$10,000+",< $25 / hr,50 - 249,10%,Gurugram,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
WorkingMouse,https://workingmouse.com.au/,"Milton, Australia","$50,000+",Undisclosed,50 - 249,10%,Milton,,Australia,Informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oceanía,1,Oceania,Australia,AUS,96
Springs,https://springsapps.com/,"Kyiv, Ukraine","$10,000+",$25 - $49 / hr,50 - 249,10%,Kyiv,,Ukraine,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Ukraine,UKR,92
AEStudio,https://ae.studio/,"Los Angeles, CA","$100,000+",$200 - $300 / hr,50 - 249,20%,Los Angeles,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
Anadea,https://anadea.info/,"Alicante (Alacant), Spain","$10,000+",$50 - $99 / hr,50 - 249,33%,Alicante (Alacant),,Spain,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Spain,ESP,29
MetalToad,https://www.metaltoad.com/,"Los Angeles, CA","$25,000+",$150 - $199 / hr,10 - 49,10%,Los Angeles,CA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
TheAppLabb,https://theapplabb.com/,"Toronto, Canada","$50,000+",$100 - $149 / hr,50 - 249,15%,Toronto,,Canada,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,Canada,CAN,126
CodewaveTechnologies,https://www.codewave.com/,"Bengaluru, India","$10,000+",< $25 / hr,50 - 249,11%,Bengaluru,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
CHISoftware,https://chisw.com/our-expertise/,"L'viv, Ukraine","$50,000+",$50 - $99 / hr,250 - 999,20%,L'viv,,Ukraine,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
Devopsbay,https://devopsbay.io/,"Sopot, Poland","$10,000+",$50 - $99 / hr,10 - 49,20%,Sopot,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
BlackburnLabs,https://BlackburnLabs.com/,"Providence, RI","$10,000+",$100 - $149 / hr,10 - 49,15%,Providence,RI,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
GrapeUp,https://grapeup.com/,"Kraków, Poland","$50,000+",$50 - $99 / hr,50 - 249,10%,Kraków,,Poland,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
MightyDigital,https://mighty.digital/,"Kyiv, Ukraine","$25,000+",$25 - $49 / hr,10 - 49,10%,Kyiv,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Ukraine,UKR,92
Exposit,https://www.exposit.com/,"Gdańsk, Poland","$5,000+",$25 - $49 / hr,50 - 249,30%,Gdańsk,,Poland,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
Reckonsys,http://www.reckonsys.com/,"Bengaluru, India","$5,000+",$25 - $49 / hr,50 - 249,10%,Bengaluru,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
CoherentLabLLP,https://www.coherentlab.com/,"Jaipur, India","$1,000+",< $25 / hr,10 - 49,10%,Jaipur,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
NybbleGroup,https://nybblegroup.com/,"Miami, FL","$5,000+",$25 - $49 / hr,50 - 249,20%,Miami,FL,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
Greenice,https://greenice.net/,"Warszawa, Poland","$5,000+",$25 - $49 / hr,10 - 49,10%,Warszawa,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
MissionCloud,https://missioncloud.com/,"Beverly Hills, CA","$10,000+",$200 - $300 / hr,50 - 249,20%,Beverly Hills,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
Imobisoft,https://imobisoft.co.uk/,"London, United Kingdom","$5,000+",$50 - $99 / hr,10 - 49,10%,London,,United Kingdom,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
Folio3,http://www.folio3.com/,"Woking, United Kingdom","$5,000+",$25 - $49 / hr,250 - 999,10%,Woking,,United Kingdom,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
N7Mobile,https://n7mobile.com/,"Warszawa, Poland","$10,000+",$25 - $49 / hr,10 - 49,10%,Warszawa,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
